key,value
fanProjects.detail.channels.zalo,Zalo
fanProjects.detail.channels.instagram,Instagram
fanProjects.detail.channels.telegram,Telegram
fanProjects.createFlow.submit,Gửi
fanProjects.createFlow.fillSample,Điền dữ liệu mẫu
fanProjects.createFlow.fillSampleA11y,Bật/tắt dữ liệu chiến dịch mẫu
fanProjects.createFlow.successTitle,Đã lưu dự án
fanProjects.createFlow.successMessage,Dự án fan của bạn đã được lưu thành công.
fanProjects.createFlow.pickImage,Chọn hình ảnh
fanProjects.createFlow.pickDocument,Chọn tệp
fanProjects.createFlow.sections.generalInfo,Thông tin chiến dịch
fanProjects.createFlow.sections.idolSelect,Ủng hộ thần tượng nào?
fanProjects.createFlow.sections.contactInfo,Thông tin liên lạc
fanProjects.createFlow.sections.duration,Thời gian chiến dịch
fanProjects.createFlow.sections.details,Chi tiết chiến dịch
fanProjects.createFlow.sections.documents,Đăng tải tài liệu
fanProjects.createFlow.fields.bannerUpload,Tải lên hình banner
fanProjects.createFlow.fields.bannerHint,"Định dạng PNG, JPG, HEIC tối đa 10MB"
fanProjects.createFlow.fields.title,Tên chiến dịch
fanProjects.createFlow.fields.titlePlaceholder,Nhập tên chiến dịch
fanProjects.createFlow.fields.description,Mô tả dự án
fanProjects.createFlow.fields.descriptionPlaceholder,Mô tả chi tiết chiến dịch của bạn...
fanProjects.createFlow.fields.organizerName,Tên đầy đủ của người tổ chức
fanProjects.createFlow.fields.organizerNamePlaceholder,Tên đầy đủ của bạn
fanProjects.createFlow.fields.phoneNumber,Số điện thoại
fanProjects.createFlow.fields.phoneNumberPlaceholder,+84 90-123-4567
fanProjects.createFlow.fields.facebookUrl,Liên kết Facebook
fanProjects.createFlow.fields.facebookUrlPlaceholder,facebook.com/yourprofile
fanProjects.createFlow.fields.zaloUrl,Liên hệ Zalo
fanProjects.createFlow.fields.zaloUrlPlaceholder,zalo.me/yourcontact
fanProjects.createFlow.fields.instagramUrl,Instagram (Không bắt buộc)
fanProjects.createFlow.fields.instagramUrlPlaceholder,@yourinstagram
fanProjects.createFlow.fields.telegramUrl,Telegram (Không bắt buộc)
fanProjects.createFlow.fields.telegramUrlPlaceholder,t.me/yourgroup
fanProjects.createFlow.fields.startDate,Ngày bắt đầu
fanProjects.createFlow.fields.endDate,Ngày kết thúc
fanProjects.createFlow.fields.target,Mục tiêu chiến dịch
fanProjects.createFlow.fields.targetPlaceholder,VD: 5000
fanProjects.createFlow.fields.purpose,Mục đích chiến dịch
fanProjects.createFlow.fields.purposePlaceholder,Bạn muốn đạt được gì thông qua chiến dịch này?
fanProjects.createFlow.fields.planFile,Kế hoạch chi tiêu
fanProjects.createFlow.fields.proposalFile,Tài liệu đề xuất
fanProjects.createFlow.fields.designFile,Tệp thiết kế
fanProjects.createFlow.fields.documentHint,"Định dạng PNG, JPG, HEIC, PDF tối đa 10MB"
fanProjects.createFlow.errors.bannerRequired,Hình banner là bắt buộc
fanProjects.createFlow.errors.titleMin,Tên chiến dịch phải có ít nhất 3 ký tự
fanProjects.createFlow.errors.descriptionMin,Mô tả phải có ít nhất 10 ký tự
fanProjects.createFlow.errors.idolRequired,Vui lòng chọn thần tượng
fanProjects.createFlow.errors.nameMin,Tên phải có ít nhất 2 ký tự
fanProjects.createFlow.errors.phoneInvalid,Nhập số điện thoại Việt Nam hợp lệ
fanProjects.createFlow.errors.facebookInvalid,Nhập liên kết Facebook hợp lệ
fanProjects.createFlow.errors.zaloInvalid,Nhập liên kết Zalo hợp lệ
fanProjects.createFlow.errors.startDateRequired,Ngày bắt đầu là bắt buộc
fanProjects.createFlow.errors.endDateRequired,Ngày kết thúc là bắt buộc
fanProjects.createFlow.errors.startDatePast,Ngày bắt đầu không thể ở quá khứ
fanProjects.createFlow.errors.endDateBeforeStart,Ngày kết thúc phải sau ngày bắt đầu
fanProjects.createFlow.errors.targetRequired,Mục tiêu chiến dịch là bắt buộc
fanProjects.createFlow.errors.purposeMin,Mục đích chiến dịch phải có ít nhất 10 ký tự
fanProjects.createFlow.errors.fileTooLarge,Tệp phải nhỏ hơn hoặc bằng 10MB
fanProjects.createFlow.errors.fileTypeInvalid,"Chỉ chấp nhận PNG, JPG, HEIC hoặc PDF"
fanProjects.createFlow.errors.submitFailed,Không thể tạo dự án fan. Vui lòng thử lại.
fanProjects.createFlow.errors.levelRequired,Cần Cấp 3 trở lên với thần tượng này để tạo dự án fan.
fanProjects.createFlow.errors.pendingProject,Bạn đã có dự án fan đang chờ duyệt cho thần tượng này.
fanProjects.createFlow.errors.uploadFailed,Không thể tải tệp lên. Kiểm tra kết nối và thử lại.
fanProjects.createFlow.idolEmpty,Hãy theo dõi thần tượng để tạo dự án fan.
fanProjects.resultSheet.title,Kết quả phê duyệt
fanProjects.resultSheet.statusLabel,Trạng thái
fanProjects.resultSheet.approvedStatus,Chiến dịch đã được phê duyệt
fanProjects.resultSheet.rejectedStatus,Đã bị từ chối
fanProjects.resultSheet.rejectedBadge,Đã bị từ chối
fanProjects.resultSheet.rejectReasonTitle,Lý do từ chối
fanProjects.resultSheet.artistMessageTitle,Thông điệp của ekip thần tượng
fanProjects.resultSheet.editCampaign,Chỉnh sửa chiến dịch
fanProjects.resultSheet.deleteCampaign,Xóa chiến dịch
fanProjects.resultSheet.deleteConfirmBody,Xóa chiến dịch này? Thao tác này không thể hoàn tác.
fanProjects.resultSheet.deleteUnavailable,Chưa thể xóa chiến dịch.
fanProjects.editFlow.notEditable,Dự án này không thể chỉnh sửa nữa.
idolHub.tabs.general,Nổi bật
idolHub.tabs.profile,Thần tượng
idolHub.tabs.digitalGift,Tặng quà
idolHub.tabs.leaderboard,Bảng xếp hạng
idolHub.tabs.events,Sự kiện
idolHub.tabs.posts,Bài viết
idolHub.tabs.sendLetter,Gửi thư
idolHub.tabs.merchandise,Vật phẩm
idolHub.actions.menuA11y,Mở menu hành động
idolHub.profileTab.social.sectionTitle,Mạng xã hội
idolHub.profileTab.social.empty,Chưa có liên kết mạng xã hội
idolHub.profileTab.introduction.sectionTitle,Thông tin thần tượng
idolHub.profileTab.introduction.empty,Chưa có thông tin giới thiệu
idolHub.hero.joiningFandom,Đang tham gia fandom
idolHub.hero.goToYourSpace,Đến Không gian của bạn
idolHub.moreSheet.currentStatus,Trạng thái hiện tại
idolHub.moreSheet.shareProfile,Chia sẻ trang cá nhân
idolHub.moreSheet.openA11y,Tùy chọn khác
idolHub.leaderboard.title,Bảng xếp hạng
idolHub.leaderboard.monthly,BXH Tháng
idolHub.leaderboard.event,BXH Sự kiện
idolHub.leaderboard.details,Chi tiết
idolHub.leaderboard.empty,Chưa có bảng xếp hạng
idolHub.leaderboard.emptyTitle,Chưa có bảng xếp hạng
idolHub.leaderboard.emptySubtitle,"Khi có sự kiện, bảng xếp hạng đua top sự kiện sẽ hiện ở đây"
idolHub.leaderboard.fppUnit,FXP
idolHub.leaderboard.endsAfter,Kết thúc sau:
idolHub.leaderboard.you,Bạn
idolHub.leaderboard.topRewardsTitle,Quà Top 3
idolHub.leaderboard.rankLabel,Hạng {{rank}}
idolHub.latestMusic.title,Nghe nhạc mới nhất
idolHub.latestMusic.emptyTitle,Thần tượng đang trong phòng thu...
idolHub.latestMusic.emptySubtitle,"Khi thần tượng thêm link, danh sách nhạc sẽ nằm tại đây"
idolHub.latestMusic.access,Truy cập
idolHub.latestMusic.openWith,Mở bằng
idolHub.latestMusic.open,Mở
idolHub.latestMusic.openYoutubeApp,Ứng dụng YouTube
idolHub.latestMusic.openSpotifyApp,Ứng dụng Spotify
idolHub.latestMusic.openBrowser,Trình duyệt của bạn
idolHub.latestMusic.openFailed,Không mở được liên kết này
idolHub.latestMusic.manageEmptyTitle,Chưa có nhạc cho fan nghe
idolHub.latestMusic.manageEmptySubtitle,Nhấn vào thêm link để cập nhật nhạc
idolHub.latestMusic.addLink,Thêm link
idolHub.latestMusic.options,Tùy chọn
idolHub.latestMusic.addRowTitle,Thêm link nhạc cho fan
idolHub.latestMusic.addRowSubtitle,Bấm Thêm link để cập nhật nhạc hằng ngày cho fan
idolHub.latestMusic.formTitle,Thêm link nhạc
idolHub.latestMusic.formBanner,Chỉ chấp nhận định dạng link {{youtube}} và {{spotify}}
idolHub.latestMusic.formUrlLabel,Dán link YouTube/Spotify
idolHub.latestMusic.formUrlInvalid,"Link không hợp lệ, chỉ nhận link {{youtube}} và {{spotify}}"
idolHub.latestMusic.formTitleLabel,Tiêu đề hiển thị và ảnh đại diện
idolHub.latestMusic.formTitleRequired,Vui lòng nhập tiêu đề
idolHub.latestMusic.formTitlePlaceholder,Nhập tên bài hát
idolHub.latestMusic.formAvatarRequired,Vui lòng tải lên ảnh đại diện
idolHub.latestMusic.formUploadTitle,Tải lên hình ảnh
idolHub.latestMusic.formUploadHint,"Định dạng PNG, JPG tối đa 10MB"
idolHub.latestMusic.deleteConfirmTitle,Xóa link nhạc?
idolHub.latestMusic.deleteConfirmBody,Link sẽ bị xóa khỏi trang của bạn. Fan sẽ không còn thấy link này nữa.
idolHub.latestMusic.deleteConfirmAction,Xóa
idolHub.latestMusic.moreEditLink,Chỉnh sửa link nhạc
idolHub.latestMusic.moreEdit,Chỉnh sửa
idolHub.latestMusic.moreDeleteLink,Xóa link nhạc
idolHub.latestMusic.moreDelete,Xóa
idolHub.latestMusic.deleteSuccess,Đã xóa link nhạc
idolHub.latestMusic.errorDeleteFailed,Không thể xóa link nhạc này. Vui lòng thử lại.
idolHub.events.detailTitle,Chi tiết sự kiện
idolHub.events.sectionTitle,Sự kiện sắp diễn ra
idolHub.events.join,Tham gia
idolHub.events.eventLink,Liên kết sự kiện
idolHub.events.view,Xem
idolHub.events.viewSchedule,Xem lịch trình thần tượng
idolHub.events.daysLeft,Còn {{count}} ngày
idolHub.events.dayLeft,Còn 1 ngày
idolHub.events.lastDay,Ngày cuối
idolHub.events.dateShort,{{day}} Tháng {{month}}
idolHub.events.countdownDays,{{count}} ngày
idolHub.events.countdownHours,{{count}} giờ
idolHub.events.countdownMinutes,{{count}} phút
idolHub.events.joinA11y,Tham gia
idolHub.events.detail.sectionTitle,Thông tin sự kiện
idolHub.events.detail.countdown.day,Ngày
idolHub.events.detail.countdown.hour,Giờ
idolHub.events.detail.countdown.minute,Phút
idolHub.events.detail.notFound,Không tìm thấy sự kiện này
idolHub.events.detail.interested,Người quan tâm
idolHub.events.detail.openChatA11y,Mở chat trực tiếp
idolHub.merch.sectionTitle,Vật phẩm nổi bật
idolHub.merch.empty,Chưa có vật phẩm nào
idolHub.merchandise.membership.title,Hội viên Fan Club
idolHub.merchandise.membership.subtitle,Quyền lợi & phần thưởng độc quyền
idolHub.merchandise.membership.shopNow,Mua ngay
idolHub.merchandise.freeShipping.title,Sự kiện miễn phí vận chuyển
idolHub.merchandise.freeShipping.subtitle,Đơn hàng trên {{amount}} được miễn phí vận chuyển toàn cầu
idolHub.merchandise.freeShipping.validUntil,Có hiệu lực đến {{date}}
idolHub.merchandise.categories.album,Album
idolHub.merchandise.categories.merch,Vật phẩm
idolHub.merchandise.categories.globalMembership,Hội viên toàn cầu
idolHub.merchandise.categories.tourMerch,Merch tour
idolHub.calendar.title,Lịch
idolHub.calendar.saveToCalendar,Lưu vào lịch
idolHub.calendar.saved,Đã lưu
idolHub.calendar.removeFromCalendar,Gỡ khỏi lịch
idolHub.fanLetters.myLettersTitle,Thư của tôi
idolHub.fanLetters.empty,Chưa có thư fan nào
idolHub.fanLetters.hidden,Ẩn
idolHub.fanLetters.detailTitle,Thư fan
idolHub.fanLetters.notFound,Không tìm thấy thư này
idolHub.fanLetters.toRecipient,Gửi {{name}}
idolHub.fanLetters.cardA11y,"Thư fan từ {{handle}} gửi {{name}}, {{count}} lượt tim"
idolHub.fanLetters.heartA11y,{{count}} lượt tim
idolHub.fanLetters.commentA11y,{{count}} bình luận
idolHub.fanLetters.reportMoreA11y,Tùy chọn khác
idolHub.fanLetters.menuReport,Báo cáo thư này
idolHub.fanLetters.menuBlock,Chặn người dùng
idolHub.fanLetters.moreSheet.report,Báo cáo
idolHub.fanLetters.moreSheet.block,Chặn
idolHub.fanLetters.blockConfirmTitle,Chặn {{handle}}?
idolHub.fanLetters.blockConfirmMessage,Thư fan của họ sẽ không còn xuất hiện trong bảng tin của bạn.
idolHub.fanLetters.blockConfirmAction,Chặn
idolHub.fanLetters.blockSuccess,Đã chặn người dùng
idolHub.fanLetters.blockAlreadyBlocked,Bạn đã chặn người dùng này
idolHub.fanLetters.reportTitle,Báo cáo thư fan
idolHub.fanLetters.reportSuccess,Cảm ơn bạn đã báo cáo
idolHub.fanLetters.reportAlreadyReported,Bạn đã báo cáo thư này
idolHub.fanLetters.reportReason.SPAM,Spam
idolHub.fanLetters.reportReason.HARASSMENT,Quấy rối
idolHub.fanLetters.reportReason.HATE,Ngôn từ thù ghét
idolHub.fanLetters.reportReason.SEXUAL,Nội dung khiêu dâm
idolHub.fanLetters.reportReason.OTHER,Khác
idolHub.fanLetters.stickerReward.title,Chúc Mừng!
idolHub.fanLetters.stickerReward.description,Bạn nhận được một bộ sticker sau khi hoàn thành nhiệm vụ {{missionName}}
idolHub.fanLetters.stickerReward.cta,Gửi thư ngay
idolHub.fanLetters.stickerReward.catalogLoadFailed,Không tải được phần thưởng sticker. Vui lòng thử lại.
idolHub.fanLetters.create.fabA11y,Tạo thư fan
idolHub.fanLetters.create.previewTitle,Xem trước thư fan
idolHub.fanLetters.create.previewSend,Gửi
idolHub.fanLetters.create.previewCancel,Hủy
idolHub.fanLetters.create.errors.dailyLimit,Bạn chỉ có thể gửi một thư fan mỗi ngày cho thần tượng này.
idolHub.fanLetters.create.errors.invalidType,Vui lòng chọn ảnh PNG hoặc JPEG.
idolHub.fanLetters.create.errors.tooLarge,Ảnh phải nhỏ hơn hoặc bằng 10 MB.
idolHub.fanLetters.create.errors.captureFailed,Không thể chụp thư fan của bạn. Vui lòng thử lại.
idolHub.fanLetters.create.errors.uploadFailed,Không thể tải ảnh lên. Vui lòng thử lại.
idolHub.fanLetters.create.errors.createFailed,Không thể gửi thư fan. Vui lòng thử lại.
idolHub.fanLetters.editor.title,Tạo thư fan
idolHub.fanLetters.editor.send,Gửi
idolHub.fanLetters.editor.undo,Hoàn tác
idolHub.fanLetters.editor.discardTitle,Bỏ thư fan?
idolHub.fanLetters.editor.discardMessage,Các thay đổi chưa gửi sẽ bị mất.
idolHub.fanLetters.editor.discardCancel,Tiếp tục chỉnh sửa
idolHub.fanLetters.editor.discardConfirm,Bỏ
idolHub.fanLetters.editor.tools.theme,Nền
idolHub.fanLetters.editor.tools.text,Chữ
idolHub.fanLetters.editor.tools.sticker,Sticker
idolHub.fanLetters.editor.tools.photo,Ảnh
idolHub.fanLetters.editor.tools.draw,Vẽ
idolHub.fanLetters.editor.text.add,Thêm chữ
idolHub.fanLetters.editor.text.placeholder,Nhập lời nhắn của bạn
idolHub.fanLetters.editor.text.font.default,Sans
idolHub.fanLetters.editor.text.font.serif,Serif
idolHub.fanLetters.editor.text.font.handwritten,Viết tay
idolHub.fanLetters.editor.photo.pick,Chọn ảnh
idolHub.fanLetters.editor.photo.mask.title,Khung
idolHub.fanLetters.editor.photo.mask.rect,Vuông
idolHub.fanLetters.editor.photo.mask.circle,Tròn
idolHub.fanLetters.editor.photo.limit,{{count}}/3 ảnh
idolHub.fanLetters.editor.draw.eraser,Tẩy
idolHub.fanLetters.editor.draw.clear,Xóa nét vẽ
idolHub.fanLetters.editor.draw.clearConfirm,Xóa toàn bộ nét vẽ?
idolHub.fanLetters.editor.stickers.locked,Gói sticker này đang bị khóa
idolHub.fanLetters.editor.stickers.recentsEmpty,Sticker bạn dùng sẽ hiện ở đây
idolHub.fanLetters.editor.stickers.searchPlaceholder,Tìm bộ sticker
idolHub.fanLetters.editor.stickers.searchEmpty,Không có bộ sticker nào khớp
idolHub.fanLetters.editor.stickers.packs.recents,Gần đây
idolHub.fanLetters.editor.stickers.preview.usePack,Dùng gói
idolHub.fanLetters.editor.stickers.preview.claimFree,Nhận miễn phí
idolHub.fanLetters.editor.stickers.preview.missionLocked,Hoàn thành nhiệm vụ để mở khóa gói này
idolHub.fanLetters.editor.stickers.preview.goToMissions,Đi đến nhiệm vụ
idolHub.fanLetters.editor.stickers.preview.loadError,Không thể tải gói sticker này
idolHub.fanLetters.editor.stickers.preview.claimFailed,Không thể nhận gói sticker này. Vui lòng thử lại.
idolHub.fanLetters.editor.stickers.preview.skuUnavailable,Gói sticker này hiện chưa mua được
idolHub.digitalGift.empty,Hiện chưa có chiến dịch nào
idolHub.digitalGift.defaultCornerTitle,Góc quà {{name}}
idolHub.digitalGift.alwaysOpen,Luôn mở
idolHub.digitalGift.sendCta,Tặng quà
idolHub.digitalGift.revenueSplitUnavailable,Thần tượng chưa thể nhận quà
idolHub.digitalGift.startsOn,Bắt đầu {{date}}
idolHub.digitalGift.contributeDisabled,Sắp diễn ra
idolHub.digitalGift.campaignUnavailable,Chiến dịch này không còn khả dụng
idolHub.digitalGift.remainingConflict,Chỉ còn {{remaining}} quà có thể tặng cho mục này
idolHub.digitalGift.packageCompleted,Gói quà này đã được hoàn thành!
idolHub.digitalGift.stats.milestone,CỘT MỐC
idolHub.digitalGift.stats.giftsSent,QUÀ ĐÃ GỬI
idolHub.digitalGift.stats.fans,FAN
idolHub.digitalGift.carousel.contribute,Đóng góp
idolHub.digitalGift.universeProgress.title,Tiến độ Vũ trụ
idolHub.digitalGift.recentGifts.title,Quà gần đây
idolHub.digitalGift.recentGifts.empty,Chưa có quà gần đây
idolHub.digitalGift.recentGifts.emptyDescription,Chưa có quà gần đây. Hãy đón chờ!
idolHub.digitalGift.detailTitle,Chi tiết gói
idolHub.digitalGift.detailComingSoon,Chi tiết quà sẽ sớm có thêm.
idolHub.digitalGift.notFound,Không tìm thấy quà này
idolHub.digitalGift.myContributions,Đóng góp của tôi
idolHub.digitalGift.communityProgress.unit,Quà
idolHub.digitalGift.communityProgress.rewardCaption,"Sau khi hoàn thành mốc, phần thưởng sẽ được mở."
idolHub.digitalGift.subGift.stars,{{count}} sao
idolHub.digitalGift.rarity.common,Phổ biến
idolHub.digitalGift.rarity.rare,Hiếm
idolHub.digitalGift.rarity.epic,Sử thi
idolHub.digitalGift.rarity.seasonal,Theo mùa
idolHub.digitalGift.rarity.legendary,Huyền thoại
idolHub.digitalGift.giftList.title,Danh sách quà
idolHub.digitalGift.giftList.messagePlaceholder,Ghi lời nhắn của bạn (Tùy chọn)
idolHub.digitalGift.giftList.submit,Gửi quà
idolHub.digitalGift.giftList.sendDetailCta,Gửi quà
idolHub.digitalGift.giftList.decreaseQuantity,Giảm số lượng
idolHub.digitalGift.giftList.increaseQuantity,Tăng số lượng
idolHub.digitalGift.giftList.insufficientBalanceTitle,Không đủ số dư sao
idolHub.digitalGift.giftList.starBalanceLabel,Số dư sao:
idolHub.digitalGift.giftList.partialPurchase,Đã mua {{purchased}} / {{requested}}
idolHub.digitalGift.giftList.insufficientInventory,Bạn không đủ quà này
idolHub.digitalGift.giftList.skuUnavailable,Quà này hiện chưa mua được
idolHub.digitalGift.giftList.tabOwned,Đã mua
idolHub.digitalGift.giftList.tabStore,Cửa hàng
idolHub.digitalGift.giftList.messageLabel,Ghi lời nhắn
idolHub.digitalGift.giftList.emptyOwned,Bạn chưa có quà nào
idolHub.digitalGift.giftList.emptyStore,Cửa hàng chưa có quà
idolHub.digitalGift.giftSendSuccess.screenTitle,Kết quả
idolHub.digitalGift.giftSendSuccess.title,Gửi quà thành công
idolHub.digitalGift.giftSendSuccess.viewGiftUniverse,Xem vũ trụ quà tặng
idolHub.digitalGift.giftSendSuccess.sendMore,Gửi thêm quà
idolHub.digitalGift.giftSendSuccess.fppEarned,+{{amount}} {{unit}}
idolHub.digitalGift.giftSendSuccess.fppEarnedSubtitle,{{title}} {{name}}
idolHub.digitalGift.giftSendSuccess.rankChange,Hạng {{from}} → hạng {{to}}
idolHub.digitalGift.giftSendSuccess.rankCurrent,Hạng {{rank}}
idolHub.digitalGift.giftSendSuccess.messageLabel,Lời nhắn:
notifications.inboxTitle,Thông báo
notifications.emptyTitle,Chưa có thông báo nào
notifications.emptyDescription,Chưa có thông báo nào. Hãy đón chờ!
merch.galleryEmpty,Chưa có vật phẩm nào. Quét mã QR trên vật phẩm để bắt đầu!
merch.alreadyOwn,Bạn đã thêm vật phẩm này rồi
merch.alreadyClaimed,Vật phẩm này đã được fan khác thêm
merch.unlock,Mở khóa
merch.addStars,Thêm sao
merch.scanAgain,Quét lại
merch.goGallery,Đến bộ sưu tập
gift.insufficient,Không đủ sao
gift.sent,Món quà của bạn đã được gửi đến Vũ trụ của {{idol}}
ecard.albumTitle,Sổ E-Card
ecard.album.empty,Chưa có thẻ nào
ecard.historyA11y,Xem lịch sử E-Card
ecard.receive,Nhận
ecard.doMission,Làm nhiệm vụ
ecard.owned,Đã sở hữu
ecard.moreA11y,Mở tùy chọn thẻ
ecard.filters.owned,Đã sở hữu
ecard.filters.notOwned,Chưa sở hữu
ecard.rarity.C,Phổ biến
ecard.rarity.R,Hiếm
ecard.rarity.SR,Siêu hiếm
ecard.rarity.SSR,Cực hiếm
ecard.rarity.UR,Huyền thoại
ecard.sectionTitle.C,Thẻ C
ecard.sectionTitle.R,Thẻ R
ecard.sectionTitle.SR,Thẻ SR
ecard.optionsTitle,Tùy chọn
ecard.detailLabel,Chi tiết thẻ
ecard.detailAction,Xem
ecard.deleteLabel,Xóa thẻ này
ecard.deleteAction,Xóa
ecard.deleteConfirmTitle,Xóa thẻ này?
ecard.deleteConfirmDescription,Tất cả bản sao đang sở hữu sẽ bị hủy.
ecard.deleteSuccessTitle,Đã xóa thẻ
ecard.deleteSuccessDescription,Các bản sao đã được gỡ khỏi sổ.
ecard.detailTitle,Thông tin thẻ
ecard.infoTitle,Thông tin E-Card
ecard.cardType,Loại thẻ:
ecard.ownedCount,Đang sở hữu: {{count}} thẻ
ecard.merge,Gộp nâng cấp
ecard.exchange,Đổi vật phẩm
ecard.mergeTitle,Nâng cấp thẻ
ecard.mergeHeadline,Gộp thẻ để nâng cấp
ecard.mergeRule,Gộp {{required}} thẻ {{from}} để nhận được {{granted}} thẻ {{to}}
ecard.confirmMerge,Xác nhận gộp
ecard.quantityA11y,Số lượng gộp {{selected}} trên {{owned}}
ecard.decrementA11y,Giảm số lượng gộp
ecard.incrementA11y,Tăng số lượng gộp
ecard.resultTitle,Xin chúc mừng
ecard.resultFailTitle,Gộp thẻ thất bại
ecard.mergeSuccess,Gộp thẻ thành công
ecard.mergeFail,Gộp thẻ không thành công
ecard.receivedCard,Bạn nhận được {{count}} thẻ {{rarity}} {{name}}
ecard.mergeMore,Gộp thêm thẻ khác
ecard.viewInventory,Xem trong kho
ecard.exchangeTitle,Đổi vật phẩm
ecard.exchangeBanner,Dùng thẻ trùng cấp để đổi lấy vật phẩm trang trí trong Không gian của tôi
ecard.exchangeListTitle,Đổi vật phẩm trang trí
ecard.needCards,Cần {{count}} thẻ
ecard.missingCards,Thiếu {{count}} thẻ
ecard.exchangeAction,Đổi
ecard.exchangeSuccess,Đã thêm vật phẩm vào Không gian của tôi
ecard.errors.exchangeFailed,Không đổi được. Vui lòng thử lại.
ecard.historyTitle,Lịch sử gộp thẻ
ecard.history.thisWeek,Tuần này
ecard.history.thisMonth,Tháng này
ecard.history.custom,Tùy chọn
ecard.history.empty,Chưa có lịch sử E-Card
ecard.history.mergeTitle,Nâng cấp thẻ {{name}}
ecard.history.mergeUsed,Dùng {{count}} thẻ {{rarity}}
ecard.history.mergeGranted,+{{count}}
ecard.history.mergeGrantedBadge,Thẻ {{rarity}}
ecard.history.exchangeTitle,Đổi lấy {{item}}
ecard.history.exchangeUsed,Dùng {{count}} thẻ {{rarity}}
ecard.history.deleteTitle,Đã xóa {{name}}
ecard.history.deleteUsed,Hủy toàn bộ bản sao
ecard.history.claimTitle,Nhận {{name}}
ecard.history.claimUsed,Đã nhận thẻ
mySpace.roomTitle,Không gian của bạn
mySpace.collectionTitle,Bộ sưu tập
mySpace.tabs.room,Phòng
mySpace.tabs.calendar,Lịch
mySpace.tabs.store,Cửa hàng
mySpace.tabs.stars,Sao
mySpace.sidebar.camera,Camera
mySpace.sidebar.collection,Bộ sưu tập
mySpace.sidebar.calendar,Lịch
mySpace.sidebar.mission,Nhiệm vụ
mySpace.sidebar.inventory,Kho
mySpace.sidebar.journeyBook,Sổ hành trình
mySpace.actions.saveImage,Lưu ảnh
mySpace.actions.shareSocial,Chia sẻ mạng xã hội
mySpace.settingsA11y,Mở danh sách không gian
mySpace.missionsA11y,Mở nhiệm vụ
mySpace.customizeA11y,Tùy chỉnh phòng
mySpace.calendarTitle,Lịch của tôi
mySpace.calendar.monthYearLabel,Tháng {{month}} năm {{year}}
mySpace.calendar.previousMonthA11y,Tháng trước
mySpace.calendar.nextMonthA11y,Tháng sau
mySpace.calendar.reminderComingSoon,Nhắc nhở sẽ sớm ra mắt
mySpace.calendar.durationHours,{{count}} giờ
mySpace.calendar.setReminder,Đặt nhắc nhở
mySpace.calendar.reminderSet,Đã đặt nhắc nhở
mySpace.storeTitle,Cửa hàng
mySpace.openBasket,Giỏ vật phẩm
mySpace.basketTitle,Giỏ vật phẩm
mySpace.placeInRoom,Trang trí
mySpace.clearPlacement.label,Gỡ khỏi sân khấu
mySpace.clearPlacement.confirmBody,Vật phẩm vẫn còn trong bộ sưu tập. Chỉ gỡ khỏi sân khấu.
mySpace.clearPlacement.action,Gỡ
mySpace.clearPlacement.longPressA11y,Gỡ {{slot}} khỏi sân khấu
mySpace.clearPlacement.errors.removeFailed,Không thể gỡ vật phẩm. Vui lòng thử lại.
mySpace.slots.theme,Chủ đề
mySpace.slots.stage,Sân khấu
mySpace.slots.mic,Micro
mySpace.slots.piano,Đàn piano
mySpace.slots.left-guitar,Guitar trái
mySpace.slots.right-guitar,Guitar phải
mySpace.slots.left-poster,Poster trái
mySpace.slots.right-poster,Poster phải
mySpace.slots.left-speaker,Loa trái
mySpace.slots.right-speaker,Loa phải
mySpace.filters.all,Tất cả
mySpace.filters.new,Mới
mySpace.filters.type,Loại
mySpace.filters.price,Giá
mySpace.missionsTitle,Nhiệm vụ
mySpace.go,Đi
mySpace.mission.tabs.daily,Hàng ngày
mySpace.mission.tabs.streak,Chuỗi
mySpace.mission.tabs.achievement,Thành Tựu
mySpace.mission.checkIn,Điểm danh hằng ngày
mySpace.mission.checkInSub,Mở Không gian của bạn hôm nay
mySpace.mission.game,Chơi mini game
mySpace.mission.gameSub,Hoàn thành 3 mini game
mySpace.mission.gift,Gửi quà
mySpace.mission.giftSub,Gửi cho 1 bạn
mySpace.mission.calendar,Thêm sự kiện lịch
mySpace.mission.calendarSub,Thêm 3 sự kiện vào Lịch của tôi
mySpace.mission.completedToday,Đã hoàn thành hôm nay
mySpace.mission.pointRewardLabel,Điểm thưởng:
mySpace.mission.rewardLabel,Phần thưởng
mySpace.mission.pointsReward,{{count}} điểm
mySpace.mission.dailyLogin,Đăng nhập hàng ngày
mySpace.mission.dailyLoginSub,Ghé thăm không gian fandom của bạn
mySpace.mission.musicalNotesReward,{{count}} Nốt nhạc
mySpace.mission.checkInLabel,Điểm danh
mySpace.mission.claim,Nhận
mySpace.mission.claimed,Đã nhận
mySpace.mission.doItNow,Thực hiện ngay
mySpace.mission.inProgress,Đang thực hiện
mySpace.mission.done,Đã thực hiện
mySpace.mission.progressLabel,Tiến trình
mySpace.mission.tierProgress,Bậc {{current}}/{{total}}
mySpace.mission.expReward,{{count}} EXP
mySpace.mission.levelBadge,Cấp {{level}}. {{name}}
mySpace.mission.pointsToNext,{{current}} / {{max}} còn {{remaining}} tới {{nextName}}
mySpace.mission.countProgress,{{current}}/{{max}}
